Locality,Site,Transect,Rugosity
Akumal,Dicks,1,1.457
Akumal,Dicks,2,1.292
Akumal,Dicks,3,1.237
Akumal,Dicks,4,1.273
Akumal,Dicks,5,1.557
Akumal,Dicks,6,1.4
Akumal,Langosta,1,1.146
Akumal,Langosta,2,1.342
Akumal,Langosta,3,1.258
Akumal,Langosta,4,1.352
Akumal,Langosta,5,1.431
Akumal,Langosta,6,1.358
Akumal,Yal Ku,1,1.522
Akumal,Yal Ku,2,1.48
Akumal,Yal Ku,3,1.327
Akumal,Yal Ku,4,1.529
Akumal,Yal Ku,5,1.36
Akumal,Yal Ku,6,1.491
Punta Allen,Punta Allen C,1,1.232
Punta Allen,Punta Allen C,2,1.317
Punta Allen,Punta Allen C,3,1.822
Punta Allen,Punta Allen C,4,1.54
Punta Allen,Punta Allen C,5,1.46
Punta Allen,Punta Allen C,6,1.413
Punta Allen,Punta Allen N,1,1.488
Punta Allen,Punta Allen N,2,1.292
Punta Allen,Punta Allen N,3,1.444
Punta Allen,Punta Allen N,4,1.202
Punta Allen,Punta Allen N,5,1.457
Punta Allen,Punta Allen N,6,1.297
Punta Allen,San Antonio,1,1.466
Punta Allen,San Antonio,2,1.377
Punta Allen,San Antonio,3,1.327
Punta Allen,San Antonio,4,1.338
Punta Allen,San Antonio,5,1.26
Punta Allen,San Antonio,6,1.266
Punta Maroma,Mar F5,1,1.146
Punta Maroma,Mar F5,2,1.222
Punta Maroma,Mar F5,3,1.135
Punta Maroma,Mar F5,4,1.119
Punta Maroma,Mar F5,5,1.411
Punta Maroma,Mar F5,6,1.324