Locality,Site,Transect,Coral_grain,Bioerosion
Akumal,Dicks,1,35.5,0
Akumal,Dicks,2,31,1
Akumal,Dicks,3,29.5,1
Akumal,Dicks,4,34.5,1
Akumal,Dicks,5,32,1
Akumal,Dicks,6,32,1
Akumal,Langosta,1,27.8,1
Akumal,Langosta,2,28.3,1
Akumal,Langosta,3,35.3,1
Akumal,Langosta,4,31.3,1
Akumal,Langosta,5,30.5,1
Akumal,Langosta,6,29.8,1
Akumal,YalKu,1,28.3,1
Akumal,YalKu,2,32.5,1
Akumal,YalKu,3,33.5,1
Akumal,YalKu,4,29.3,1
Akumal,YalKu,5,28.5,1
Akumal,YalKu,6,28.5,1
Punta Allen,Punta Allen C,1,26.8,0
Punta Allen,Punta Allen C,2,27.8,0
Punta Allen,Punta Allen C,3,24.5,0
Punta Allen,Punta Allen C,4,24,0
Punta Allen,Punta Allen C,5,27,0
Punta Allen,Punta Allen C,6,22.5,0
Punta Allen,Punta Allen N,1,23.8,0
Punta Allen,Punta Allen N,2,25.5,0
Punta Allen,Punta Allen N,3,28,0
Punta Allen,Punta Allen N,4,33.8,0
Punta Allen,Punta Allen N,5,29.8,0
Punta Allen,Punta Allen N,6,31.8,0
Punta Allen,San Antonio,1,19,0
Punta Allen,San Antonio,2,23.3,0
Punta Allen,San Antonio,3,19.3,0
Punta Allen,San Antonio,4,30.3,0
Punta Allen,San Antonio,5,24.3,0
Punta Allen,San Antonio,6,30,0
Punta Maroma,Mar_F5,1,37.8,1
Punta Maroma,Mar_F5,2,34,1
Punta Maroma,Mar_F5,3,39.8,1
Punta Maroma,Mar_F5,4,36.8,1
Punta Maroma,Mar_F5,5,41,1
Punta Maroma,Mar_F5,6,35,1